sample_id	fq1	fq2	cell_line	treatment	replicate
K1	fastq/Unknown_CQ888-001U0001_1.fq.gz	fastq/Unknown_CQ888-001U0001_2.fq.gz	KG-1	CTRL	1
K2	fastq/Unknown_CQ888-001U0002_1.fq.gz	fastq/Unknown_CQ888-001U0002_2.fq.gz	KG-1	PU001	1
K3	fastq/Unknown_CQ888-001U0003_1.fq.gz	fastq/Unknown_CQ888-001U0003_2.fq.gz	KG-1	CTRL	2
K4	fastq/Unknown_CQ888-001U0004_1.fq.gz	fastq/Unknown_CQ888-001U0004_2.fq.gz	KG-1	PU001	2
K5	fastq/Unknown_CQ888-001U0005_1.fq.gz	fastq/Unknown_CQ888-001U0005_2.fq.gz	KG-1	CTRL	3
K6	fastq/Unknown_CQ888-001U0006_1.fq.gz	fastq/Unknown_CQ888-001U0006_2.fq.gz	KG-1	PU001	3
M7	fastq/Unknown_CQ888-001U0007_1.fq.gz	fastq/Unknown_CQ888-001U0007_2.fq.gz	Mono-Mac-1	CTRL	1
M8	fastq/Unknown_CQ888-001U0008_1.fq.gz	fastq/Unknown_CQ888-001U0008_2.fq.gz	Mono-Mac-1	PU001	1
M9	fastq/Unknown_CQ888-001U0009_1.fq.gz	fastq/Unknown_CQ888-001U0009_2.fq.gz	Mono-Mac-1	CTRL	2
M10	fastq/Unknown_CQ888-001U0010_1.fq.gz	fastq/Unknown_CQ888-001U0010_2.fq.gz	Mono-Mac-1	PU001	2
M11	fastq/Unknown_CQ888-001U0011_1.fq.gz	fastq/Unknown_CQ888-001U0011_2.fq.gz	Mono-Mac-1	CTRL	3
M12	fastq/Unknown_CQ888-001U0012_1.fq.gz	fastq/Unknown_CQ888-001U0012_2.fq.gz	Mono-Mac-1	PU001	3
T13	fastq/Unknown_CQ888-001U0013_1.fq.gz	fastq/Unknown_CQ888-001U0013_2.fq.gz	THP-1	CTRL	1
T14	fastq/Unknown_CQ888-001U0014_1.fq.gz	fastq/Unknown_CQ888-001U0014_2.fq.gz	THP-1	PU001	1
T15	fastq/Unknown_CQ888-001U0015_1.fq.gz	fastq/Unknown_CQ888-001U0015_2.fq.gz	THP-1	CTRL	2
T16	fastq/Unknown_CQ888-001U0016_1.fq.gz	fastq/Unknown_CQ888-001U0016_2.fq.gz	THP-1	PU001	2
T17	fastq/Unknown_CQ888-001U0017_1.fq.gz	fastq/Unknown_CQ888-001U0017_2.fq.gz	THP-1	CTRL	3
T18	fastq/Unknown_CQ888-001U0018_1.fq.gz	fastq/Unknown_CQ888-001U0018_2.fq.gz	THP-1	PU001	3
